contestant name,age,african_american,asian_american,latin_american,poc,gender_F,gender_M,gender_N,country_CA,country_US,finish
David Jelinsky,22,0,0,0,0,0,1,0,0,1,18
"Jessica ""Jess"" Chong",37,0,1,0,1,1,0,0,0,1,17
Randen Montalvo,41,0,0,1,1,0,1,0,0,1,16
Bhanu Gopal,41,0,1,0,1,0,1,0,0,1,15
"Jemila ""Jem"" Hussain-Adams",32,0,0,1,1,1,0,0,0,1,14
Moriah Gaynor,28,0,0,0,0,1,0,0,0,1,13
Tim Spicer,31,1,0,0,1,0,1,0,0,1,12
"Sodasia ""Soda"" Thompson",27,1,0,0,1,1,0,0,0,1,11
Tevin Davis,24,1,0,0,1,0,1,0,0,1,10
Hunter McKnight,28,0,0,0,0,0,1,0,0,1,9
Ben Katzman,31,0,1,0,1,0,1,0,0,1,
Charlie Davis,26,0,0,0,0,0,1,0,0,1,
Kenzie Petty,29,0,0,0,0,1,0,0,0,1,
Liz Wilcox,35,0,0,0,0,1,0,0,0,1,
Maria Shrime Gonzalez,48,0,0,1,1,1,0,0,0,1,
"Quintavius ""Q"" Burdette",29,1,0,0,1,0,1,0,0,1,
Tiffany Nicole Ervin,33,1,0,0,1,1,0,0,0,1,
Venus Vafa,24,0,1,0,1,1,0,0,1,0,
